"죄종별(1)",죄종별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"죄종별(1)",죄종별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외
"죄종별(1)",죄종별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계
"풍속범죄",성풍속범죄,14497,3564,928,524,930,355,421,233,41,314,15,88,70,54,72,79,117,20,269,393,566,163,274,39,175,49,22,58,204,26,194,97,100,134,25,48,173,53,17,10,24,78,190,8,201,204,28,4,17,16,21,21,43,61,198,72,12,11,32,202,21,27,10,61,58,46,63,45,87,19,11,6,49,15,6,81,36,139,8,18,65,58,200,23,39,147,276,526
"풍속범죄",도박범죄,8135,1241,533,394,362,150,172,351,13,120,2,21,54,19,9,21,30,21,82,207,1294,40,73,15,237,19,7,19,43,17,68,21,42,54,24,22,141,12,5,8,16,36,70,3,16,95,28,1,8,9,24,12,15,40,58,40,18,19,52,77,10,11,5,16,18,34,17,21,28,21,8,11,64,14,12,49,48,36,11,10,19,36,92,16,18,68,353,489
"특별경제범죄",소계,47826,11539,3633,1869,2990,1161,1216,904,178,955,29,220,334,188,221,477,403,88,910,878,1134,491,972,153,468,190,82,229,615,117,452,187,395,633,148,206,680,174,49,47,119,268,216,32,79,761,144,18,43,113,110,89,139,255,601,178,47,52,172,403,65,127,74,206,213,228,186,180,280,93,31,39,93,40,40,303,233,461,58,69,331,256,884,90,183,711,893,2005
"마약범죄",소계,9186,2154,865,285,759,126,113,73,34,100,4,29,42,20,13,43,60,19,103,74,176,127,151,43,110,74,24,40,83,11,108,47,92,119,87,11,120,19,7,2,4,54,66,7,22,87,77,2,24,20,40,26,29,58,92,11,3,6,24,36,18,7,13,18,58,36,25,47,47,22,21,23,36,25,12,66,23,200,30,21,61,43,174,17,9,19,135,925
"보건범죄",소계,14595,3937,1713,315,733,348,280,133,58,305,7,68,120,83,38,102,163,18,241,258,331,148,232,67,161,46,25,61,161,18,77,41,83,177,29,72,227,120,51,13,29,90,26,11,14,98,37,5,10,23,214,49,319,70,169,41,6,14,42,102,13,31,18,53,62,72,18,57,50,28,7,10,32,9,6,94,108,164,31,7,69,65,269,41,25,106,60,661
"환경범죄",소계,3568,39,400,11,149,5,13,57,3,54,4,3,37,5,2,7,56,7,22,5,14,20,8,2,2,81,3,15,139,-,11,42,104,109,167,18,309,15,12,7,7,28,13,1,-,2,9,-,3,5,10,5,37,5,55,17,1,2,23,24,3,11,8,14,4,32,3,70,22,27,4,10,11,1,8,45,19,116,34,26,13,26,69,24,5,11,41,707
"교통범죄",소계,348725,50895,18201,19005,16771,12432,10583,8020,1337,6159,359,1717,3035,1495,1075,3207,3679,598,5573,5951,8826,5096,6495,1881,2514,1725,1130,1958,5592,818,2790,2070,2804,6637,1612,1679,5417,1645,487,553,742,2988,2175,293,1127,6849,1728,104,814,778,1477,913,1374,2411,5294,1826,591,479,1857,3868,708,1219,838,2413,2353,3041,1708,2141,3350,1084,433,730,1324,662,1036,3875,1938,3928,736,997,2400,1687,5418,1245,1904,4632,129,27287
"노동범죄",소계,356,55,18,12,9,8,11,11,1,6,-,4,4,-,1,-,-,2,10,4,3,3,4,1,2,1,-,-,2,1,2,1,1,4,3,1,6,2,2,1,1,2,2,-,-,7,-,-,1,-,1,1,2,2,5,2,-,-,3,1,3,4,4,6,3,9,-,-,2,-,-,-,1,-,3,4,1,1,-,-,1,-,-,1,6,34,3,44
"안보범죄",소계,216,124,5,7,13,2,1,-,-,-,-,-,-,-,-,2,1,-,2,3,2,1,-,1,3,1,1,2,2,-,1,-,1,6,-,-,2,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,1,1,-,1,-,-,2,-,1,-,13,4
"선거범죄",소계,829,201,64,18,29,30,9,10,-,9,2,8,2,3,3,4,2,3,10,7,8,2,11,18,8,3,1,3,6,6,2,3,3,5,7,3,1,4,-,-,1,4,6,1,4,8,1,-,-,1,1,2,-,1,6,3,1,4,3,19,5,-,3,8,7,18,2,7,9,-,-,6,14,1,2,10,6,9,-,2,3,5,13,3,8,20,10,84
"병역범죄",소계,3845,748,205,174,288,87,102,52,17,81,2,9,26,12,11,43,72,10,50,49,68,30,40,19,30,23,7,15,31,11,51,12,43,30,17,26,47,9,9,1,4,13,14,2,5,58,19,1,4,25,22,10,6,26,88,17,3,3,20,39,13,6,3,15,16,22,27,17,62,9,3,5,11,5,4,57,25,56,1,4,55,27,65,16,29,49,60,247
"기타범죄",소계,241829,41026,21878,7875,15504,4770,5085,4288,867,4018,195,1062,1606,663,582,1715,2090,426,3763,3979,5320,2061,3117,859,1905,1028,518,903,2912,410,1835,1023,1438,4943,817,873,3017,782,1016,413,378,1706,1154,180,453,2901,771,60,351,457,637,421,1407,1018,2553,3750,257,253,816,2359,392,1082,380,1024,948,3587,800,971,1336,443,188,312,615,258,315,2947,1043,2177,302,727,1245,1103,4700,1442,1888,3354,3327,26459
